x,est
1,0.008623429
2,0.007589947
3,0.005825551
4,0.007429661
5,0.007800021
6,0.006706555
7,0.007406635
8,0.00686234
9,0.007400342
10,0.006677671
11,0.006813619
12,0.007122507
13,0.007479275
14,0.006448098
15,0.007186886
16,0.00636249
17,0.006908951
18,0.006351474
19,0.007462666
20,0.006613612
21,0.006270491
22,0.007220994
23,0.006245452
24,0.006431144
25,0.006230417
26,0.008078333
27,0.006979417
28,0.006902821
29,0.006343222
30,0.006218298
31,0.006164272
32,0.007256425
33,0.006224622
34,0.007252495
35,0.006208858
36,0.007062771
37,0.006447436
38,0.006740907
39,0.005690329
40,0.007316683
41,0.006379156
42,0.006030853
43,0.006194532
44,0.00618891
45,0.006873631
46,0.006746233
47,0.006544096
48,0.007097233
49,0.007467896
50,0.006699343
51,0.005789702
52,0.006616893
53,0.006228631
54,0.006165894
55,0.005506878
56,0.005137979
57,0.007080553
58,0.006286627
59,0.006301276
60,0.005433225
61,0.00725002
62,0.006696962
63,0.008905301
64,0.007056992
65,0.007007166
66,0.008420253
67,0.00816621
68,0.006162982
69,0.005386931
70,0.006195135
71,0.006333979
72,0.007660477
73,0.006290251
74,0.005863016
75,0.006113181
76,0.006673399
77,0.006823278
78,0.006606348
79,0.006281943
80,0.006244521
81,0.007734191
82,0.006076754
83,0.007029397
84,0.007337622
85,0.006871976
86,0.009065615
87,0.007098614
88,0.006140715
89,0.007213427
90,0.005337024
91,0.007630914
92,0.006764226
93,0.00789022
94,0.00730122
95,0.007436086
96,0.006761224
97,0.007853997
98,0.00612842
99,0.00727248
100,0.006247734
101,0.00704292
102,0.006244255
103,0.006190184
104,0.006836457
105,0.006069958
106,0.007511125
107,0.006531975
108,0.00512006
109,0.007291869
110,0.007436018
111,0.006292453
112,0.00643521
113,0.006314868
114,0.006772786
115,0.00775671
116,0.007690968
117,0.005763555
118,0.007709317
119,0.00662016
120,0.006443009
121,0.006029235
122,0.006961403
123,0.00652461
124,0.006565557
125,0.007088207
126,0.007315037
127,0.006305425
128,0.006765568
129,0.006858604
130,0.0061752
131,0.006580418
132,0.006140461
133,0.006274137
134,0.008202737
135,0.006203855
136,0.005733875
137,0.005463298
138,0.00635742
139,0.006880158
140,0.005722874
141,0.007113837
142,0.006817911
143,0.008213281
144,0.007536437
145,0.005305316
146,0.004825797
147,0.006626888
148,0.005960082
149,0.007551987
150,0.00653989
151,0.005221332
152,0.007121746
153,0.006311342
154,0.006607911
155,0.007444205
156,0.007351971
157,0.006087669
158,0.007056843
159,0.006330007
160,0.007219518
161,0.006804394
162,0.008065647
163,0.006675313
164,0.006202751
165,0.006876231
166,0.006330221
167,0.006600725
168,0.008368893
169,0.006478335
170,0.006986573
171,0.006424926
172,0.006673027
173,0.006946801
174,0.006784767
175,0.00675046
176,0.006317151
177,0.006251749
178,0.007333432
179,0.007902481
180,0.004967877
181,0.005784663
182,0.006748518
183,0.006141043
184,0.007007144
185,0.006517902
186,0.007337809
187,0.006949499
188,0.007059549
189,0.009681864
190,0.005318392
191,0.007034783
192,0.004621049
193,0.006401267
194,0.006469241
195,0.00667087
196,0.007375056
197,0.00733661
198,0.005849469
199,0.007702959
200,0.006472003
201,0.006106525
202,0.007906967
203,0.005027943
204,0.005834362
205,0.007248885
206,0.007151308
207,0.007486225
208,0.00681527
209,0.007003584
210,0.007110043
211,0.006879174
212,0.008279149
213,0.005871937
214,0.005483305
215,0.007964093
216,0.005857301
217,0.006229925
218,0.006285847
219,0.006526447
220,0.005910111
221,0.006940479
222,0.007096313
223,0.006459993
224,0.007402474
225,0.006486806
226,0.007111639
227,0.00653125
228,0.007567635
229,0.007280987
230,0.006577615
231,0.007587778
