model,deltaT
ACCESS1-0,4.1746855
ACCESS1-3,2.2776165
BCC-CSM1-1,1.7790947
BNU-ESM,2.1100645
CCSM4,2.1238093
CESM1-BGC,1.8222097
CESM1-CAM5,2.2685444
CMCC-CESM,2.4269967
CMCC-CMS,2.5218182
CNRM-CM5,1.6268035
CSIRO-Mk3-6-0,1.9915113
CanESM2,2.794174
GFDL-CM3,2.8894622
GISS-E2-H,1.9031235
GISS-E2-R,1.7988101
HadGEM2-AO,1.8527824
HadGEM2-CC,2.3396573
HadGEM2-ES,2.3813989
INMCM4,1.3450686
IPSL-CM5A-LR,2.2120137
IPSL-CM5A-MR,2.6136491
IPSL-CM5B-LR,1.6028315
MIROC-ESM,2.121186
MIROC-ESM-CHEM,2.3605351
MIROC5,1.8472458
MPI-ESM-LR,2.1226885
MPI-ESM-MR,1.9988798
MRI-CGCM3,1.661975
MRI-ESM1,1.6391734
NorESM1-M,1.9977725
